format	category	achievable_depth	witnessed_depth	good_valid/total	corrupt_rejected/total	opacity	sweep_evidence	streaming	status	notes
git_repository	bundle	full	full	1/1	0/0	transparent	-	-	deep	-
glb	3d	full	structural	1/1	1/3	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
gltf	3d	full	structural	2/2	7/7	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
gpt_disk_image	-	full	-	0/0	0/0	transparent	-	-	unwitnessed	no labeled-good fixture in corpus
gzip	archive	full	full	3/3	5/5	transparent	-	-	deep	-
hdf5	scientific	full	mixed	2/2	0/5	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
heic	image	full	full	6/6	0/5	mixed	-	-	deep	-
hqx	archive	full	full	2/2	0/0	transparent	-	-	deep	-
html	document	structural	structural	2/2	3/5	opaque	-	-	structural-ceiling	-
icalendar	pim	structural	structural	1/1	0/0	opaque	-	-	structural-ceiling	-
icns	image	full	full	1/1	0/0	transparent	-	-	deep	-
ico	image	full	structural	1/1	3/5	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
idml	project	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
iff	game	structural	structural	1/1	0/5	transparent	-	-	structural-ceiling	-
indd	project	structural	structural	1/1	0/0	mixed	-	-	structural-ceiling	-
ini	data	structural	structural	1/1	3/5	opaque	-	-	structural-ceiling	-
iso	disk_image	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
it	audio	full	full	1/1	0/5	mixed	-	-	deep	-
ivf	video	structural	structural	2/2	0/5	mixed	-	-	structural-ceiling	-
java_class	executable	full	structural	1/1	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
jbig2	image	full	full	2/2	0/10	mixed	-	-	deep	-
jpeg	image	full	full	6/6	6/6	mixed	-	-	deep	-
jpeg2000	image	full	full	10/10	5/5	mixed	-	-	deep	-
json	data	full	full	3/3	9/10	opaque	-	-	deep	-
jxl	image	full	mixed	8/8	0/5	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
keynote	document	full	full	1/1	0/0	transparent	-	-	deep	-
kml	scientific	structural	structural	1/1	5/5	opaque	-	-	structural-ceiling	-
kmz	scientific	full	full	1/1	2/5	transparent	-	-	deep	-
llvm_diag	executable	full	structural	1/1	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
llvm_pch	executable	full	structural	1/1	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
logicx	project	full	full	1/1	0/0	transparent	-	-	deep	-
lspk	game	full	structural	1/1	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
m4a	audio	full	full	2/2	0/11	mixed	-	aac_m4a:streams	deep	-
macho	executable	full	structural	1/1	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
macho_fat	executable	full	structural	1/1	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
macos_app	bundle	full	structural	1/1	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
macos_bundle	bundle	full	structural	1/1	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
macos_framework	bundle	full	structural	1/1	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
markdown	text	structural	structural	58/58	0/5	transparent	-	-	structural-ceiling	-
matlab	scientific	structural	structural	1/1	5/5	transparent	-	-	structural-ceiling	-
mblar	archive	full	full	1/1	0/0	transparent	-	-	deep	-
mbox	text	structural	structural	1/1	5/5	opaque	-	-	structural-ceiling	-
mdb	database	full	structural	1/1	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
midi	audio	full	full	2/2	3/5	transparent	-	-	deep	-
mkv	video	full	full	13/13	10/10	transparent	-	h265_mkv:streams;mkv_cc:streams	deep	-
mod	audio	full	full	1/1	0/5	mixed	-	-	deep	-
mov	video	full	full	8/8	4/9	mixed	-	-	deep	-
mp2	-	structural	-	0/0	0/0	transparent	-	-	unwitnessed	no labeled-good fixture in corpus
mp3	audio	full	full	2/2	0/5	mixed	-	mp3:streams	deep	-
mp4	video	full	full	9/9	2/6	mixed	-	h264_mp4:streams;h265_mp4:streams	deep	-
mpeg_es	video	full	full	1/1	0/0	mixed	-	-	deep	-
mpeg_ps	video	full	full	3/3	0/10	mixed	-	-	deep	-
mpeg_ts	video	full	full	7/7	0/5	mixed	-	-	deep	-
msgpack	data	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
msi	archive	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
mt940	financial	full	full	1/1	0/0	mixed	-	-	deep	-
mwd	document	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
n64	game	full	full	1/1	0/0	mixed	-	-	deep	-
nacha	financial	full	full	1/1	0/0	mixed	-	-	deep	-
nds	game	full	structural	1/1	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
nef	image	full	full	1/1	0/0	mixed	-	-	deep	-
nes	game	full	structural	2/2	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
netcdf	scientific	full	structural	1/1	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
nifti	scientific	structural	structural	1/1	0/0	mixed	-	-	structural-ceiling	-
numbers	document	full	full	1/1	0/0	transparent	-	-	deep	-
obj	3d	structural	structural	1/1	3/5	opaque	-	-	structural-ceiling	-
odp	-	full	-	0/0	0/0	transparent	-	-	unwitnessed	no labeled-good fixture in corpus
ods	-	full	-	0/0	0/0	transparent	-	-	unwitnessed	no labeled-good fixture in corpus
odt	-	full	-	0/0	0/0	transparent	-	-	unwitnessed	no labeled-good fixture in corpus
ofx	financial	structural	structural	1/1	0/0	opaque	-	-	structural-ceiling	-
ogg	audio	full	full	2/2	20/20	transparent	-	opus_ogg:streams;vorbis_ogg:streams	deep	-
ogv	video	full	full	2/2	0/0	transparent	-	theora_ogv:streams	deep	-
orf	image	structural	structural	2/2	0/0	transparent	-	-	structural-ceiling	-
otf	font	full	full	2/2	5/5	transparent	-	-	deep	-
pages	document	full	full	1/1	0/0	transparent	-	-	deep	-
pak	game	full	structural	1/1	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
pam	image	structural	structural	1/1	0/5	mixed	-	-	structural-ceiling	-
par2	other	full	full	2/2	5/5	transparent	-	-	deep	-
parquet	scientific	full	structural	1/1	0/0	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
pcap	network	structural	structural	1/1	0/0	mixed	-	-	structural-ceiling	-
pcapng	network	structural	structural	1/1	0/0	mixed	-	-	structural-ceiling	-
pdb_struct	scientific	structural	structural	2/2	0/0	transparent	-	-	structural-ceiling	-
pdf	document	full	full	6/6	2/6	mixed	-	-	deep	-
pe	executable	full	structural	1/1	0/5	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
pef	image	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
pem	crypto	full	full	1/1	0/0	mixed	-	-	deep	-
pgp_armor	-	full	-	0/0	0/0	transparent	-	-	unwitnessed	no labeled-good fixture in corpus
pgp_signed	crypto	full	full	1/1	0/0	transparent	-	-	deep	-
plain_text	text	structural	structural	4/4	0/5	opaque	-	-	structural-ceiling	-
plain_text_cp437	text	structural	structural	2/2	0/0	opaque	-	-	structural-ceiling	-
plain_text_latin1	text	structural	structural	1/1	0/0	opaque	-	-	structural-ceiling	-
plain_text_utf16	text	structural	structural	1/1	0/0	opaque	-	-	structural-ceiling	-
plist	data	structural	structural	2/2	5/5	opaque	-	-	structural-ceiling	-
ply	3d	structural	structural	1/1	1/5	transparent	-	-	structural-ceiling	-
png	image	full	full	5/5	3/6	transparent	-	-	deep	-
ppt	document	full	structural	1/1	0/5	mixed	-	-	partial	deep achievable but not witnessed on all fixtures
pptx	document	full	full	1/1	2/5	transparent	-	-	deep	-
prores	-	full	-	0/0	0/0	mixed	-	-	unwitnessed	no labeled-good fixture in corpus
prproj	project	full	full	1/1	0/0	mixed	-	-	deep	-
psd	image	full	full	2/2	0/0	mixed	-	-	deep	-
ptx	project	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
qbb	financial	structural	structural	1/1	0/0	mixed	-	-	structural-ceiling	-
qbw	financial	full	full	1/1	0/0	transparent	-	-	deep	-
qdf	financial	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
qif	financial	structural	structural	1/1	0/0	opaque	-	-	structural-ceiling	-
qoi	image	structural	structural	1/1	4/6	transparent	-	-	structural-ceiling	-
raf	image	structural	structural	3/3	0/0	transparent	-	-	structural-ceiling	-
rar	archive	full	full	2/2	5/5	transparent	-	-	deep	-
reason	project	full	structural	1/1	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
rm	video	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
rpm	archive	full	full	1/1	0/0	transparent	-	-	deep	-
rpp	project	structural	structural	1/1	0/0	opaque	-	-	structural-ceiling	-
rtf	document	structural	structural	1/1	0/5	transparent	-	-	structural-ceiling	-
rw2	image	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
s3m	audio	full	full	1/1	0/5	mixed	-	-	deep	-
sevenz	archive	full	full	3/3	2/5	mixed	-	-	deep	-
shapefile	scientific	structural	structural	1/2	0/0	transparent	-	-	structural-ceiling	1 labeled-good fixture(s) rejected
sit	archive	full	full	1/1	0/0	transparent	-	-	deep	-
sitx	archive	full	structural	1/1	0/0	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
sketch	image	full	full	1/1	0/0	transparent	-	-	deep	-
snes	game	full	full	2/2	0/0	transparent	-	-	deep	-
song	project	full	full	1/1	0/0	transparent	-	-	deep	-
spotlight	other	structural	structural	1/1	0/0	opaque	-	-	structural-ceiling	-
sqlite	data	full	full	2/2	2/6	mixed	-	-	deep	-
ssh_signature	crypto	full	full	1/1	0/0	transparent	-	-	deep	-
step	3d	structural	structural	1/1	0/5	opaque	-	-	structural-ceiling	-
stl	3d	structural	structural	1/1	3/5	transparent	-	-	structural-ceiling	-
svg	image	structural	structural	1/1	5/5	opaque	-	-	structural-ceiling	-
swf	video	full	mixed	2/2	2/5	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
tar	archive	structural	structural	1/1	1/5	mixed	-	-	structural-ceiling	-
tga	image	full	full	1/1	1/5	transparent	-	-	deep	-
thumbs_db	-	structural	-	0/0	0/0	transparent	-	-	unwitnessed	no labeled-good fixture in corpus
tiff	image	full	full	16/16	0/5	mixed	-	-	deep	-
toast	disk_image	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
toml	data	structural	structural	2/2	4/5	opaque	-	-	structural-ceiling	-
torrent	-	structural	-	0/0	0/0	transparent	-	-	unwitnessed	no labeled-good fixture in corpus
tta	audio	full	full	1/1	6/6	transparent	-	-	deep	-
ttf	font	full	full	3/3	3/5	transparent	-	-	deep	-
txf	financial	structural	structural	1/1	0/0	opaque	-	-	structural-ceiling	-
type1	-	full	-	0/0	0/0	mixed	-	-	unwitnessed	no labeled-good fixture in corpus
unknown	other	structural	structural	5/5	0/0	transparent	-	-	detection-only	fallback classification row
vcard	pim	structural	structural	1/1	0/0	opaque	-	-	structural-ceiling	-
vmdk	disk_image	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
vpk	game	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
wad	game	structural	structural	1/1	2/5	transparent	-	-	structural-ceiling	-
warc	archive	full	full	1/1	2/5	mixed	-	-	deep	-
wasm	executable	full	structural	1/1	5/5	transparent	-	-	partial	deep achievable but not witnessed on all fixtures
wav	audio	full	structural	1/1	0/5	mixed	-	wav:streams	partial	deep achievable but not witnessed on all fixtures
wavpack	audio	full	full	2/2	5/5	mixed	-	-	deep	-
webm	-	full	-	0/0	0/0	mixed	-	vp9_webm:streams	unwitnessed	no labeled-good fixture in corpus
webp	image	full	full	6/6	0/5	mixed	-	-	deep	-
wim	disk_image	structural	structural	1/1	0/0	transparent	-	-	structural-ceiling	-
woff	font	full	full	2/2	5/5	transparent	-	-	deep	-
woff2	font	full	full	2/2	4/5	transparent	-	-	deep	-
wpd	document	structural	structural	1/1	0/0	mixed	-	-	structural-ceiling	-
x12_edi	financial	full	full	1/1	0/0	mixed	-	-	deep	-
xls	document	full	full	5/5	0/10	transparent	-	-	deep	-
xlsx	document	full	full	1/1	3/5	transparent	-	-	deep	-
xm	audio	full	full	1/1	0/10	mixed	-	-	deep	-
xml	data	structural	structural	3/3	5/5	opaque	-	-	structural-ceiling	-
xz	archive	full	full	2/2	5/5	transparent	-	-	deep	-
yaml	data	structural	structural	1/1	0/5	transparent	-	-	structural-ceiling	-
zip	archive	full	full	3/3	4/6	transparent	-	-	deep	-
zstd	archive	full	full	2/2	5/5	transparent	-	-	deep	-
